,0
0,-0.18010504607716882
1,-0.18010504607716882
2,-0.18010504607716882
3,-0.18010504607716882
4,-0.18010504607716882
5,-0.18010504607716882
6,-0.18010504607716882
7,-0.18010504607716882
8,-0.18010504607716882
9,-0.18010504607716882
10,-0.18010504607716882
11,-0.18010504607716882
12,-0.18010504607716882
13,-0.18010504607716882
14,-0.18010504607716882
15,-0.18024413162900207
16,-0.18352107273963766
17,-0.18352107273963766
18,-0.18352107273963766
19,-0.18470914104929487
20,-0.18471406805232302
21,-0.18471406805232302
22,-0.18471406805232302
23,-0.18471406805232302
24,-0.1858241476290825
25,-0.1858241476290825
26,-0.18588472522943808
27,-0.18588472522943808
28,-0.18588472522943808
29,-0.18588472522943808
30,-0.18588472522943808
31,-0.18588472522943808
32,-0.18596480990938782
33,-0.18596480990938782
34,-0.18596480990938782
35,-0.1860516902525676
36,-0.1860516902525676
37,-0.1860516902525676
38,-0.1860516902525676
39,-0.18606580264279335
40,-0.18614273091888853
41,-0.18620528754447993
42,-0.18620528754447993
43,-0.186266065089761
44,-0.18627962882061194
45,-0.1862916611263851
46,-0.18644618912832478
47,-0.18644618912832478
48,-0.18664804236090252
49,-0.18664804236090252
50,-0.18670583630818874
51,-0.18671687499293552
52,-0.18671687499293552
53,-0.18671687499293552
54,-0.18687321866591047
55,-0.1869487010822198
56,-0.18709428844900042
57,-0.18709428844900042
58,-0.1872547983330864
59,-0.1872547983330864
60,-0.1873326021910773
61,-0.1873326021910773
62,-0.18738734787627234
63,-0.1875863328657811
64,-0.1875863328657811
65,-0.1875863328657811
66,-0.1875863328657811
67,-0.18771441478910936
68,-0.18783142634780206
69,-0.18783142634780206
70,-0.18786340168854807
71,-0.18786340168854807
72,-0.18786340168854807
73,-0.18786340168854807
74,-0.187934912548098
75,-0.18795342140988508
76,-0.1879614213616407
77,-0.18801656409822534
78,-0.18815048140512244
79,-0.18815048140512244
80,-0.18815048140512244
81,-0.18822147445507476
82,-0.18828272186088793
83,-0.1887054381999604
84,-0.18871949357051968
85,-0.18871949357051968
86,-0.18871949357051968
87,-0.18889626881301605
88,-0.18889626881301605
89,-0.18889626881301605
90,-0.18889626881301605
91,-0.18912812231601406
92,-0.18912812231601406
93,-0.1891862152422391
94,-0.18919592075904415
95,-0.18919592075904415
96,-0.18919592075904415
97,-0.18919592075904415
98,-0.18925914210485353
99,-0.18938568688054172
100,-0.18938568688054172
101,-0.18943583457328703
102,-0.18944476529347362
103,-0.18944929194141175
104,-0.1894985991532339
105,-0.1894985991532339
106,-0.18968391842901056
107,-0.18999615090800678
108,-0.18999615090800678
109,-0.18999615090800678
110,-0.1901528723319858
111,-0.1901528723319858
112,-0.1901528723319858
113,-0.1901528723319858
114,-0.1901528723319858
115,-0.1901528723319858
116,-0.1901528723319858
117,-0.1901528723319858
118,-0.1901528723319858
119,-0.1901528723319858
120,-0.1901528723319858
121,-0.1901528723319858
122,-0.1901528723319858
123,-0.19020209445030875
124,-0.1902592387876593
