,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,1.7763568394002505e-17,-3.9968028886505634e-17,-4.884981308350689e-17,-2.3980817331903383e-16,-6.661338147750939e-17,-5.329070518200751e-17,-9.325873406851315e-17,4.440892098500626e-18,9.325873406851315e-17,6.217248937900877e-17,1.3322676295501878e-17,3.552713678800501e-17,-7.549516567451065e-17,-1.554312234475219e-16,-1.865174681370263e-16,-3.375077994860476e-16,-2.575717417130363e-16,-2.842170943040401e-16,-3.552713678800501e-16,-4.707345624410664e-16,-5.506706202140776e-16,-6.039613253960852e-16,-5.861977570020827e-16,-6.306066779870889e-16,-6.750155989720952e-16,-4.973799150320702e-16,-4.618527782440651e-16,-4.884981308350689e-16,-4.884981308350689e-16,-4.707345624410664e-16,-4.973799150320702e-16,-5.151434834260726e-16,-5.773159728050814e-16,-6.750155989720952e-16,-6.306066779870889e-16,-5.417888360170764e-16,-5.950795411990839e-16,-5.062616992290713e-16,-5.595524044110789e-16,-7.993605777301127e-16,-6.750155989720952e-16,-4.618527782440651e-16,-3.5971225997855074e-16,-3.9523939676655573e-16,-5.595524044110789e-16,-6.838973831690964e-16,-7.283063041541026e-16,-6.217248937900876e-16,-6.217248937900876e-16,-8.437694987151189e-16,-8.437694987151189e-16,-4.796163466380677e-16,-6.572520305780927e-16,-6.927791673660977e-16,-6.750155989720952e-16,-6.750155989720952e-16,-6.750155989720952e-16,-8.348877145181177e-16,-7.371880883511039e-16,-6.927791673660977e-16,-6.750155989720952e-16,-6.794564910705958e-16,-6.661338147750939e-16,-6.394884621840901e-16,-5.506706202140776e-16,-3.907985046680551e-16,-3.9968028886505636e-16,-6.483702463810914e-16,-6.616929226765933e-16,-6.217248937900876e-16,-5.684341886080802e-16,-5.506706202140776e-16,-7.593925488436071e-16,-8.615330671091215e-16,-6.883382752675971e-16,-5.062616992290713e-16,-4.840572387365683e-16,-7.904787935331115e-16,-8.348877145181177e-16,-6.17284001691587e-16,-6.838973831690964e-16,-7.01660951563099e-16,-7.904787935331115e-16,-1.0835776720341528e-15,-8.79296635503124e-16,-6.394884621840901e-16,-6.394884621840901e-16,-6.394884621840901e-16,-1.1102230246251565e-15,-7.549516567451064e-16,-5.595524044110789e-16,-6.661338147750939e-16,-6.661338147750939e-16,-3.2862601528904633e-16,-2.753353101070388e-16,-9.769962616701378e-17,-2.753353101070388e-16,-3.552713678800501e-16,-2.6645352591003756e-16,-2.042810365310288e-16,-2.842170943040401e-16,-3.641531520770513e-16,-4.4408920985006264e-17,-3.108624468950438e-16,-3.2862601528904633e-16,1.687538997430238e-16,2.220446049250313e-16,-5.329070518200751e-17,3.641531520770513e-16,-1.4210854715202004e-16,-1.1546319456101628e-16,-2.042810365310288e-16,-3.8191672047105384e-16,-2.3980817331903383e-16,-1.9539925233402755e-16,-5.151434834260726e-16,-4.529709940470639e-16,-6.217248937900876e-16,-9.237055564881303e-16,-1.1102230246251565e-15,-1.2967404927621828e-15,-1.403321903126198e-15,-1.6076029396572267e-15,-1.2612133559741778e-15,-1.2878587085651815e-15,-1.1368683772161603e-15,-1.6431300764452318e-15,-1.447730824111204e-15,-1.3855583347321954e-15,-1.3500311979441904e-15,-1.5187850976872141e-15,-1.616484723854228e-15,-1.6431300764452318e-15,-1.5987211554602255e-15,-1.803002191991254e-15,-1.2789769243681803e-15,-1.0125233984581427e-15,-9.14823772291129e-16,-1.021405182655144e-15,-9.85878045867139e-16,-1.0480505352461477e-15,-1.1191048088221578e-15,-1.1635137298071641e-15,-9.85878045867139e-16,-1.5099033134902129e-15,-1.5898393712632242e-15,-1.5898393712632242e-15,-1.4210854715202005e-15,-1.5454304502782179e-15,-1.2967404927621828e-15,-1.4210854715202005e-15,-1.1191048088221578e-15,-1.2256862191861727e-15,-1.1635137298071641e-15,-1.2079226507921704e-15,-1.5543122344752192e-15,-1.3944401189291967e-15,-1.6342482922482305e-15,-1.438849039914203e-15,-1.6786572132332366e-15,-1.8562928971732616e-15,-2.2026824808563106e-15,-2.540190280342358e-15,-2.602362769721367e-15,-2.8688162956314045e-15,-3.0375701953744282e-15,-2.842170943040401e-15,-2.7178259642823833e-15,-2.504663143554353e-15,-2.6911806116913793e-15,-2.7977620220553944e-15,-2.7089441800853818e-15,-2.6911806116913793e-15,-3.268496584496461e-15,-3.3395508580724707e-15,-2.744471316873387e-15,-3.277378368693462e-15,-3.002043058586423e-15,-2.966515921798418e-15,-3.588240815588506e-15,-3.4905411894214923e-15,-3.3395508580724707e-15,-3.481659405224491e-15,-3.61488616817951e-15,-3.135269821541442e-15,-3.5438318946035e-15,-3.570477247194503e-15,-3.765876499528531e-15,-3.8902214782865484e-15,-3.703704010149522e-15,-3.606004383982508e-15,-4.085620730620576e-15,-4.529709940470638e-15,-4.7961634663806766e-15,-5.044853423896711e-15,-5.009326287108706e-15,-5.311306949806749e-15,-5.151434834260726e-15,-5.631051180898794e-15,-5.133671265866724e-15,-5.542233338928782e-15
1,4.884981308350689e-17,1.4210854715202004e-16,2.6645352591003756e-16,1.4654943925052067e-16,7.993605777301127e-17,4.4408920985006264e-17,4.884981308350689e-17,0.0,-1.7763568394002505e-17,-8.43769498715119e-17,-8.881784197001253e-17,-1.2434497875801754e-16,4.440892098500626e-18,9.769962616701378e-17,1.021405182655144e-16,8.43769498715119e-17,2.2204460492503132e-17,-1.3322676295501878e-17,3.9968028886505634e-17,8.43769498715119e-17,9.325873406851315e-17,1.5987211554602254e-16,4.440892098500626e-18,-1.554312234475219e-16,-1.2434497875801754e-16,-9.769962616701378e-17,-5.329070518200751e-17,-5.773159728050814e-17,-5.773159728050814e-17,8.881784197001253e-18,4.884981308350689e-17,-3.1086244689504386e-17,4.884981308350689e-17,2.2204460492503132e-17,8.881784197001253e-18,6.217248937900877e-17,4.884981308350689e-17,-2.2204460492503132e-17,6.217248937900877e-17,7.105427357601002e-17,1.0658141036401502e-16,8.43769498715119e-17,3.1086244689504386e-17,-1.3322676295501878e-17,1.3322676295501878e-17,9.325873406851315e-17,1.1102230246251565e-16,1.2434497875801754e-16,9.325873406851315e-17,2.6645352591003756e-17,4.440892098500626e-18,-2.2204460492503132e-17,-8.881784197001253e-18,-8.881784197001253e-17,-2.042810365310288e-16,-1.8207657603852566e-16,-2.042810365310288e-16,-2.4424906541753446e-16,-2.1316282072803005e-16,-8.881784197001253e-17,-1.021405182655144e-16,3.1086244689504386e-17,6.217248937900877e-17,9.769962616701378e-17,1.9539925233402755e-16,1.3322676295501878e-16,-8.881784197001253e-18,-3.552713678800501e-17,-2.6645352591003756e-17,-1.1102230246251565e-16,-1.687538997430238e-16,-2.3092638912203257e-16,-3.730349362740526e-16,-2.842170943040401e-16,-2.1760371282653068e-16,-3.552713678800501e-16,-3.907985046680551e-16,-4.440892098500626e-16,-3.4638958368304885e-16,-3.9523939676655573e-16,-4.3076653355456073e-16,-3.8635761256955447e-16,-3.241851231905457e-16,-4.1744385725905884e-16,-4.884981308350689e-16,-5.595524044110789e-16,-5.417888360170764e-16,-5.861977570020827e-16,-4.529709940470639e-16,-4.574118861455645e-16,-3.6859404417555195e-16,-3.8191672047105384e-16,-3.9523939676655573e-16,-1.9539925233402755e-16,-1.554312234475219e-16,-1.1546319456101628e-16,-5.773159728050814e-17,0.0,-3.375077994860476e-16,-3.508304757815495e-16,-4.440892098500626e-16,-6.217248937900876e-16,-6.661338147750939e-16,-5.950795411990839e-16,-5.595524044110789e-16,-6.306066779870889e-16,-4.707345624410664e-16,-3.907985046680551e-16,-5.062616992290713e-16,-4.1744385725905884e-16,-4.04121180963557e-16,-4.39648317751562e-16,-4.39648317751562e-16,-4.75175454539567e-16,-5.861977570020827e-16,-6.483702463810914e-16,-6.128431095930864e-16,-7.283063041541026e-16,-7.194245199571015e-16,-5.506706202140776e-16,-3.9968028886505636e-16,-2.2648549702353194e-16,-2.575717417130363e-16,-3.241851231905457e-16,-2.353672812205332e-16,-6.927791673660977e-16,-8.881784197001252e-16,-8.348877145181177e-16,-6.661338147750939e-16,-7.283063041541026e-16,-7.371880883511039e-16,-5.684341886080802e-16,-4.840572387365683e-16,-7.638334409421077e-16,-9.237055564881303e-16,-9.325873406851315e-16,-9.14823772291129e-16,-6.750155989720952e-16,-7.727152251391089e-16,-8.881784197001252e-16,-1.092459456231154e-15,-1.3411494137471891e-15,-1.3411494137471891e-15,-1.4743761767022078e-15,-1.1368683772161603e-15,-9.14823772291129e-16,-7.549516567451064e-16,-6.394884621840901e-16,-6.306066779870889e-16,-5.684341886080802e-16,-5.861977570020827e-16,-3.730349362740526e-16,-3.641531520770513e-16,-3.375077994860476e-16,-3.1974423109204507e-16,-5.773159728050814e-16,-7.283063041541026e-16,-6.394884621840901e-16,-8.260059303211165e-16,-1.127986593019159e-15,-1.1723955140041654e-15,-1.127986593019159e-15,-1.1368683772161603e-15,-1.1457501614131616e-15,-1.234568003383174e-15,-1.1635137298071641e-15,-8.970602038971265e-16,-8.970602038971265e-16,-9.414691248821328e-16,-9.50350909079134e-16,-1.0391687510491465e-15,-1.1723955140041654e-15,-1.1812772982011666e-15,-1.2612133559741778e-15,-1.3589129821411916e-15,-1.6342482922482305e-15,-1.438849039914203e-15,-1.5187850976872141e-15,-1.5631940186722204e-15,-1.6076029396572267e-15,-1.5365486660812166e-15,-1.3411494137471891e-15,-1.4210854715202005e-15,-1.7497114868092467e-15,-1.865174681370263e-15,-1.6875389974302379e-15,-1.758593271006248e-15,-1.723066134218243e-15,-1.447730824111204e-15,-1.4566126083082053e-15,-1.2168044349891717e-15,-1.4566126083082053e-15,-1.1191048088221578e-15,-1.4743761767022078e-15,-1.5987211554602255e-15,-1.4654943925052066e-15,-1.5187850976872141e-15,-1.3322676295501878e-15,-9.592326932761353e-16,-7.638334409421077e-16,-7.01660951563099e-16
2,-8.881784197001253e-18,-1.3322676295501878e-17,0.0,4.440892098500626e-18,-8.881784197001253e-18,2.6645352591003756e-17,3.9968028886505634e-17,1.7763568394002505e-17,2.6645352591003756e-17,-3.552713678800501e-17,-5.329070518200751e-17,-7.105427357601002e-17,-7.549516567451065e-17,-2.3092638912203257e-16,-3.8191672047105384e-16,-3.4638958368304885e-16,-3.730349362740526e-16,-4.085620730620576e-16,-3.108624468950438e-16,-2.753353101070388e-16,-3.2862601528904633e-16,-5.151434834260726e-16,-5.861977570020827e-16,-5.595524044110789e-16,-6.128431095930864e-16,-6.394884621840901e-16,-5.773159728050814e-16,-5.595524044110789e-16,-6.217248937900876e-16,-6.483702463810914e-16,-6.572520305780927e-16,-6.217248937900876e-16,-6.838973831690964e-16,-6.927791673660977e-16,-6.128431095930864e-16,-6.217248937900876e-16,-6.394884621840901e-16,-6.306066779870889e-16,-6.039613253960852e-16,-6.306066779870889e-16,-6.394884621840901e-16,-6.128431095930864e-16,-6.306066779870889e-16,-6.394884621840901e-16,-6.217248937900876e-16,-6.217248937900876e-16,-5.773159728050814e-16,-6.128431095930864e-16,-6.483702463810914e-16,-6.661338147750939e-16,-6.661338147750939e-16,-6.927791673660977e-16,-6.306066779870889e-16,-6.661338147750939e-16,-6.927791673660977e-16,-6.661338147750939e-16,-6.306066779870889e-16,-6.661338147750939e-16,-6.394884621840901e-16,-5.773159728050814e-16,-5.861977570020827e-16,-6.483702463810914e-16,-6.394884621840901e-16,-7.01660951563099e-16,-6.128431095930864e-16,-6.128431095930864e-16,-6.750155989720952e-16,-6.750155989720952e-16,-5.773159728050814e-16,-6.572520305780927e-16,-7.194245199571015e-16,-6.750155989720952e-16,-6.838973831690964e-16,-6.394884621840901e-16,-7.01660951563099e-16,-6.039613253960852e-16,-6.039613253960852e-16,-6.128431095930864e-16,-6.838973831690964e-16,-6.661338147750939e-16,-6.661338147750939e-16,-6.483702463810914e-16,-6.750155989720952e-16,-6.661338147750939e-16,-6.128431095930864e-16,-6.661338147750939e-16,-6.572520305780927e-16,-5.684341886080802e-16,-6.217248937900876e-16,-5.950795411990839e-16,-6.572520305780927e-16,-6.128431095930864e-16,-5.950795411990839e-16,-6.039613253960852e-16,-5.861977570020827e-16,-6.394884621840901e-16,-6.661338147750939e-16,-6.661338147750939e-16,-6.394884621840901e-16,-6.217248937900876e-16,-6.217248937900876e-16,-6.039613253960852e-16,-5.773159728050814e-16,-5.595524044110789e-16,-6.039613253960852e-16,-6.128431095930864e-16,-6.128431095930864e-16,-6.572520305780927e-16,-6.394884621840901e-16,-5.861977570020827e-16,-5.329070518200751e-16,-5.240252676230739e-16,-5.329070518200751e-16,-4.884981308350689e-16,-4.618527782440651e-16,-4.973799150320702e-16,-5.062616992290713e-16,-4.796163466380677e-16,-5.151434834260726e-16,-5.595524044110789e-16,-4.529709940470639e-16,-4.529709940470639e-16,-5.151434834260726e-16,-5.240252676230739e-16,-4.440892098500626e-16,-5.062616992290713e-16,-5.151434834260726e-16,-4.796163466380677e-16,-5.329070518200751e-16,-5.151434834260726e-16,-4.884981308350689e-16,-5.240252676230739e-16,-5.417888360170764e-16,-5.151434834260726e-16,-4.884981308350689e-16,-4.884981308350689e-16,-4.973799150320702e-16,-5.151434834260726e-16,-5.329070518200751e-16,-5.684341886080802e-16,-5.506706202140776e-16,-5.417888360170764e-16,-5.329070518200751e-16,-5.240252676230739e-16,-5.062616992290713e-16,-5.151434834260726e-16,-5.329070518200751e-16,-5.240252676230739e-16,-5.240252676230739e-16,-5.240252676230739e-16,-5.240252676230739e-16,-4.973799150320702e-16,-5.151434834260726e-16,-5.506706202140776e-16,-5.861977570020827e-16,-5.151434834260726e-16,-5.062616992290713e-16,-5.151434834260726e-16,-5.062616992290713e-16,-5.329070518200751e-16,-5.506706202140776e-16,-5.151434834260726e-16,-4.440892098500626e-16,-4.973799150320702e-16,-4.884981308350689e-16,-4.884981308350689e-16,-5.417888360170764e-16,-5.151434834260726e-16,-5.684341886080802e-16,-5.417888360170764e-16,-5.595524044110789e-16,-4.973799150320702e-16,-5.329070518200751e-16,-4.884981308350689e-16,-4.973799150320702e-16,-4.796163466380677e-16,-4.707345624410664e-16,-4.618527782440651e-16,-4.529709940470639e-16,-4.618527782440651e-16,-4.973799150320702e-16,-5.240252676230739e-16,-4.973799150320702e-16,-4.440892098500626e-16,-5.062616992290713e-16,-4.796163466380677e-16,-5.151434834260726e-16,-5.417888360170764e-16,-5.329070518200751e-16,-5.151434834260726e-16,-5.151434834260726e-16,-5.329070518200751e-16,-5.240252676230739e-16,-4.973799150320702e-16,-4.973799150320702e-16,-5.240252676230739e-16,-4.796163466380677e-16,-5.062616992290713e-16,-5.595524044110789e-16,-5.240252676230739e-16,-5.062616992290713e-16
3,4.884981308350689e-17,-9.769962616701378e-17,-1.2878587085651815e-16,-6.661338147750939e-17,-4.884981308350689e-17,-7.993605777301127e-17,-2.042810365310288e-16,-2.842170943040401e-16,-2.3980817331903383e-16,-2.842170943040401e-16,-2.6201263381153693e-16,-2.6645352591003756e-16,-3.108624468950438e-16,-3.552713678800501e-16,-3.774758283725532e-16,-3.108624468950438e-16,-3.552713678800501e-16,-3.108624468950438e-16,-3.108624468950438e-16,-3.1530333899354444e-16,-3.108624468950438e-16,-3.552713678800501e-16,-3.4638958368304885e-16,-4.085620730620576e-16,-4.3520742565306136e-16,-4.529709940470639e-16,-4.440892098500626e-16,-4.085620730620576e-16,-3.8191672047105384e-16,-4.1744385725905884e-16,-4.263256414560601e-16,-4.263256414560601e-16,-4.440892098500626e-16,-3.907985046680551e-16,-3.730349362740526e-16,-3.907985046680551e-16,-3.907985046680551e-16,-4.707345624410664e-16,-4.618527782440651e-16,-4.973799150320702e-16,-4.1744385725905884e-16,-4.1744385725905884e-16,-3.8191672047105384e-16,-4.1744385725905884e-16,-4.1744385725905884e-16,-4.529709940470639e-16,-4.3520742565306136e-16,-3.9968028886505636e-16,-3.8191672047105384e-16,-3.552713678800501e-16,-2.575717417130363e-16,-2.353672812205332e-16,-2.486899575160351e-16,-1.554312234475219e-16,-1.9539925233402755e-16,-1.687538997430238e-16,-2.042810365310288e-16,-2.575717417130363e-16,-2.3092638912203257e-16,-1.5987211554602254e-16,-2.0872192862952942e-16,-1.554312234475219e-16,-2.0872192862952942e-16,-2.3980817331903383e-16,-2.575717417130363e-16,-2.3980817331903383e-16,-2.3092638912203257e-16,-1.9539925233402755e-16,-1.9539925233402755e-16,-2.042810365310288e-16,-1.9539925233402755e-16,-2.6645352591003756e-16,-2.6645352591003756e-16,-2.1316282072803005e-16,-2.3092638912203257e-16,-2.220446049250313e-16,-1.7319479184152443e-16,-1.7319479184152443e-16,-1.8207657603852566e-16,-1.6431300764452317e-16,-1.865174681370263e-16,-1.2434497875801754e-16,-1.865174681370263e-16,-1.7763568394002506e-16,-1.2434497875801754e-16,-1.1102230246251565e-16,-1.554312234475219e-16,-1.4654943925052067e-16,-1.5987211554602254e-16,-1.865174681370263e-16,-1.2878587085651815e-16,-1.0658141036401502e-16,-9.769962616701378e-17,-1.2434497875801754e-16,-1.1546319456101628e-16,-6.661338147750939e-17,-1.4210854715202004e-16,-1.1990408665951691e-16,-1.0658141036401502e-16,-1.5987211554602254e-16,-1.376676550535194e-16,-7.993605777301127e-17,-1.7319479184152443e-16,-1.687538997430238e-16,-1.1990408665951691e-16,-1.687538997430238e-16,-1.7319479184152443e-16,-1.9539925233402755e-16,-1.2434497875801754e-16,-1.2434497875801754e-16,-1.2878587085651815e-16,-7.105427357601002e-17,-8.881784197001253e-17,-1.509903313490213e-16,-1.4654943925052067e-16,-1.1546319456101628e-16,-1.1990408665951691e-16,-1.8207657603852566e-16,-1.865174681370263e-16,-1.3322676295501878e-16,-1.3322676295501878e-16,-1.554312234475219e-16,-1.1990408665951691e-16,-1.7319479184152443e-16,-1.376676550535194e-16,-1.7763568394002506e-16,-1.509903313490213e-16,-1.865174681370263e-16,-1.509903313490213e-16,-1.3322676295501878e-16,-2.575717417130363e-16,-1.554312234475219e-16,-1.376676550535194e-16,-7.105427357601002e-17,-1.2878587085651815e-16,-9.769962616701378e-17,-1.8207657603852566e-16,-1.865174681370263e-16,-1.0658141036401502e-16,-9.769962616701378e-17,-1.4210854715202004e-16,-1.6431300764452317e-16,-1.4210854715202004e-16,-1.0658141036401502e-16,-8.43769498715119e-17,-8.43769498715119e-17,-1.3322676295501878e-16,-1.865174681370263e-16,-1.9539925233402755e-16,-1.6431300764452317e-16,-1.2434497875801754e-16,-1.6431300764452317e-16,-1.4210854715202004e-16,-1.5987211554602254e-16,-1.3322676295501878e-16,-1.865174681370263e-16,-2.5313084961453567e-16,-2.1316282072803005e-16,-1.865174681370263e-16,-2.220446049250313e-16,-2.1760371282653068e-16,-2.6645352591003756e-16,-2.842170943040401e-16,-2.486899575160351e-16,-1.9539925233402755e-16,-2.042810365310288e-16,-2.1316282072803005e-16,-2.220446049250313e-16,-2.3092638912203257e-16,-1.5987211554602254e-16,-2.220446049250313e-16,-2.3092638912203257e-16,-2.9309887850104134e-16,-2.5313084961453567e-16,-2.886579864025407e-16,-2.6645352591003756e-16,-2.6645352591003756e-16,-2.708944180085382e-16,-2.575717417130363e-16,-2.0872192862952942e-16,-1.554312234475219e-16,-2.1316282072803005e-16,-2.6645352591003756e-16,-2.220446049250313e-16,-2.1316282072803005e-16,-2.3092638912203257e-16,-2.220446049250313e-16,-1.9984014443252818e-16,-2.6645352591003756e-16,-2.575717417130363e-16,-1.9539925233402755e-16,-2.3980817331903383e-16,-2.753353101070388e-16,-2.3980817331903383e-16,-2.3980817331903383e-16,-3.019806626980426e-16,-2.3092638912203257e-16,-2.3092638912203257e-16,-1.7319479184152443e-16,-2.1316282072803005e-16,-2.3980817331903383e-16
4,-4.4408920985006264e-17,0.0,1.7763568394002505e-17,-3.1086244689504386e-17,8.881784197001253e-18,-1.3322676295501878e-17,3.9968028886505634e-17,6.661338147750939e-17,1.6431300764452317e-16,1.4654943925052067e-16,1.2878587085651815e-16,1.2878587085651815e-16,5.773159728050814e-17,3.1086244689504386e-17,4.440892098500626e-18,0.0,-4.440892098500626e-18,3.552713678800501e-17,1.7763568394002505e-17,3.1086244689504386e-17,3.9968028886505634e-17,4.440892098500626e-18,-4.440892098500626e-18,-3.1086244689504386e-17,-2.2204460492503132e-17,-8.881784197001253e-18,1.7763568394002505e-17,4.884981308350689e-17,3.1086244689504386e-17,2.2204460492503132e-17,6.217248937900877e-17,4.4408920985006264e-17,1.0658141036401502e-16,7.105427357601002e-17,5.773159728050814e-17,1.2878587085651815e-16,1.1546319456101628e-16,7.549516567451065e-17,9.325873406851315e-17,8.881784197001253e-17,4.4408920985006264e-17,5.773159728050814e-17,8.881784197001253e-17,8.881784197001253e-17,7.549516567451065e-17,8.43769498715119e-17,3.1086244689504386e-17,0.0,3.1086244689504386e-17,4.4408920985006264e-17,4.884981308350689e-17,1.021405182655144e-16,5.773159728050814e-17,5.773159728050814e-17,5.329070518200751e-17,9.769962616701378e-17,6.661338147750939e-17,6.217248937900877e-17,8.43769498715119e-17,8.881784197001253e-17,4.4408920985006264e-17,3.552713678800501e-17,4.440892098500626e-18,5.329070518200751e-17,9.325873406851315e-17,7.549516567451065e-17,7.993605777301127e-17,7.105427357601002e-17,1.1546319456101628e-16,5.329070518200751e-17,7.105427357601002e-17,7.549516567451065e-17,6.217248937900877e-17,4.4408920985006264e-17,7.549516567451065e-17,9.769962616701378e-17,1.0658141036401502e-16,1.1990408665951691e-16,7.993605777301127e-17,9.769962616701378e-17,7.993605777301127e-17,9.325873406851315e-17,1.1546319456101628e-16,7.993605777301127e-17,7.993605777301127e-17,1.0658141036401502e-16,7.105427357601002e-17,3.552713678800501e-17,3.9968028886505634e-17,5.773159728050814e-17,9.325873406851315e-17,7.549516567451065e-17,9.325873406851315e-17,8.881784197001253e-17,5.329070518200751e-17,7.549516567451065e-17,4.4408920985006264e-17,7.549516567451065e-17,5.329070518200751e-17,7.993605777301127e-17,4.884981308350689e-17,1.021405182655144e-16,8.881784197001253e-17,9.325873406851315e-17,8.881784197001253e-17,1.3322676295501878e-16,1.1102230246251565e-16,1.5987211554602254e-16,1.376676550535194e-16,1.1990408665951691e-16,9.769962616701378e-17,7.993605777301127e-17,7.993605777301127e-17,5.329070518200751e-17,8.881784197001253e-18,1.021405182655144e-16,5.773159728050814e-17,1.021405182655144e-16,8.43769498715119e-17,7.105427357601002e-17,8.881784197001253e-17,6.661338147750939e-17,1.4210854715202004e-16,1.1102230246251565e-16,1.2434497875801754e-16,1.1102230246251565e-16,9.325873406851315e-17,1.1102230246251565e-16,7.993605777301127e-17,1.021405182655144e-16,7.549516567451065e-17,8.881784197001253e-17,5.329070518200751e-17,3.552713678800501e-17,3.1086244689504386e-17,9.769962616701378e-17,8.881784197001253e-17,1.1546319456101628e-16,1.0658141036401502e-16,4.4408920985006264e-17,1.1990408665951691e-16,1.2878587085651815e-16,1.3322676295501878e-16,7.549516567451065e-17,6.661338147750939e-17,7.549516567451065e-17,7.549516567451065e-17,1.021405182655144e-16,8.881784197001253e-17,7.549516567451065e-17,1.0658141036401502e-16,1.1102230246251565e-16,1.0658141036401502e-16,8.881784197001253e-17,1.0658141036401502e-16,1.2434497875801754e-16,8.43769498715119e-17,9.325873406851315e-17,9.325873406851315e-17,7.549516567451065e-17,4.884981308350689e-17,1.1102230246251565e-16,1.2434497875801754e-16,7.549516567451065e-17,4.4408920985006264e-17,6.661338147750939e-17,1.021405182655144e-16,7.549516567451065e-17,9.769962616701378e-17,2.6645352591003756e-17,5.773159728050814e-17,1.2434497875801754e-16,8.43769498715119e-17,7.549516567451065e-17,6.217248937900877e-17,6.217248937900877e-17,3.9968028886505634e-17,3.9968028886505634e-17,0.0,-1.7763568394002505e-17,-4.884981308350689e-17,-4.884981308350689e-17,-2.6645352591003756e-17,-3.1086244689504386e-17,0.0,-3.1086244689504386e-17,1.3322676295501878e-17,-8.881784197001253e-17,-8.43769498715119e-17,-5.329070518200751e-17,-3.552713678800501e-17,-8.881784197001253e-18,-3.552713678800501e-17,-3.552713678800501e-17,-3.1086244689504386e-17,-4.884981308350689e-17,-1.3322676295501878e-17,-3.1086244689504386e-17,-2.2204460492503132e-17,-2.2204460492503132e-17,-2.2204460492503132e-17
