,0
0,-0.1708865385958935
1,-0.18480338675955804
2,-0.18480338675955804
3,-0.1947630122047399
4,-0.1947630122047399
5,-0.1965736537734192
6,-0.1965736537734192
7,-0.1965736537734192
8,-0.1965736537734192
9,-0.1965736537734192
10,-0.19911884158276127
11,-0.19911884158276127
12,-0.19911884158276127
13,-0.19911884158276127
14,-0.19911884158276127
15,-0.19911884158276127
16,-0.19911884158276127
17,-0.19911884158276127
18,-0.19911884158276127
19,-0.19911884158276127
20,-0.19911884158276127
21,-0.19911884158276127
22,-0.19990235433609432
23,-0.19990235433609432
24,-0.19990235433609432
25,-0.19990235433609432
26,-0.19990235433609432
27,-0.19990235433609432
28,-0.19990235433609432
29,-0.19990235433609432
30,-0.19990235433609432
31,-0.19990235433609432
32,-0.19990235433609432
33,-0.20166924069750208
34,-0.20166924069750208
35,-0.20166924069750208
36,-0.20166924069750208
37,-0.20166924069750208
38,-0.20166924069750208
39,-0.20166924069750208
40,-0.20166924069750208
41,-0.20200323284778
42,-0.20200323284778
43,-0.20200323284778
44,-0.20200323284778
45,-0.20200323284778
46,-0.20200323284778
47,-0.20200323284778
48,-0.20200323284778
49,-0.20200323284778
50,-0.20200323284778
51,-0.20200323284778
52,-0.20200323284778
53,-0.20200323284778
54,-0.20200323284778
55,-0.20200323284778
56,-0.20200323284778
57,-0.20200323284778
58,-0.20200323284778
59,-0.20200323284778
60,-0.20200323284778
61,-0.20200323284778
62,-0.20200323284778
63,-0.20200323284778
64,-0.20200323284778
65,-0.20200323284778
66,-0.2038371654339784
67,-0.2038371654339784
68,-0.2038371654339784
69,-0.2038371654339784
70,-0.2038371654339784
71,-0.2038371654339784
72,-0.2038371654339784
73,-0.2038371654339784
74,-0.2038371654339784
75,-0.2038371654339784
76,-0.2038371654339784
77,-0.2038371654339784
78,-0.2038371654339784
79,-0.2038371654339784
80,-0.2038371654339784
81,-0.2038371654339784
82,-0.2038371654339784
83,-0.2038371654339784
84,-0.2038371654339784
85,-0.2038371654339784
86,-0.2038371654339784
87,-0.2038371654339784
88,-0.2038371654339784
89,-0.2038371654339784
90,-0.2038371654339784
91,-0.2038371654339784
92,-0.2038371654339784
93,-0.2038371654339784
94,-0.2038371654339784
95,-0.2038371654339784
96,-0.2038371654339784
97,-0.2038371654339784
98,-0.2038371654339784
99,-0.2038371654339784
100,-0.2038371654339784
101,-0.2038371654339784
102,-0.2038371654339784
103,-0.2038371654339784
104,-0.2038371654339784
105,-0.2038371654339784
106,-0.2038371654339784
107,-0.2038371654339784
108,-0.2038371654339784
109,-0.2038371654339784
110,-0.2038371654339784
111,-0.2038371654339784
112,-0.2038371654339784
113,-0.2038371654339784
114,-0.2038371654339784
115,-0.2038371654339784
116,-0.2038371654339784
117,-0.2038371654339784
118,-0.2038371654339784
119,-0.2038371654339784
120,-0.2038371654339784
121,-0.2038371654339784
122,-0.2038371654339784
123,-0.2038371654339784
124,-0.2038371654339784
125,-0.2038371654339784
126,-0.2038371654339784
127,-0.2038371654339784
128,-0.2038371654339784
129,-0.2038371654339784
130,-0.2038371654339784
131,-0.2038371654339784
132,-0.2038371654339784
133,-0.2038371654339784
134,-0.2038371654339784
135,-0.2038371654339784
136,-0.2038371654339784
137,-0.2038371654339784
138,-0.2038371654339784
139,-0.2038371654339784
140,-0.2038371654339784
141,-0.2038371654339784
142,-0.2038371654339784
143,-0.2038371654339784
144,-0.2038371654339784
145,-0.2038371654339784
146,-0.2038371654339784
147,-0.2038371654339784
148,-0.2038371654339784
149,-0.2038371654339784
150,-0.2038371654339784
151,-0.2038371654339784
152,-0.2038371654339784
153,-0.2038371654339784
154,-0.2038371654339784
155,-0.2038371654339784
156,-0.2038371654339784
157,-0.2038371654339784
158,-0.2038371654339784
159,-0.2038371654339784
160,-0.2038371654339784
161,-0.2038371654339784
162,-0.2038371654339784
163,-0.2038371654339784
164,-0.2038371654339784
165,-0.2038371654339784
166,-0.2038371654339784
167,-0.2038371654339784
168,-0.2038371654339784
169,-0.2038371654339784
170,-0.2038371654339784
171,-0.2038371654339784
172,-0.2038371654339784
173,-0.2038371654339784
174,-0.2038371654339784
175,-0.2038371654339784
176,-0.2038371654339784
177,-0.2038371654339784
178,-0.2038371654339784
179,-0.2038371654339784
180,-0.2038371654339784
181,-0.2038371654339784
182,-0.2038371654339784
183,-0.2038371654339784
184,-0.2038371654339784
185,-0.2038371654339784
186,-0.2038371654339784
187,-0.2038371654339784
188,-0.2038371654339784
189,-0.2038371654339784
190,-0.2038371654339784
191,-0.2038371654339784
192,-0.2038371654339784
193,-0.2038371654339784
194,-0.2038371654339784
195,-0.2038371654339784
196,-0.2038371654339784
197,-0.2038371654339784
198,-0.2038371654339784
199,-0.2038371654339784
200,-0.2038371654339784
201,-0.2038371654339784
202,-0.2038371654339784
203,-0.2038371654339784
204,-0.2038371654339784
205,-0.2038371654339784
206,-0.2038371654339784
207,-0.2038371654339784
208,-0.2038371654339784
209,-0.2038371654339784
210,-0.2038371654339784
211,-0.2038371654339784
212,-0.2038371654339784
213,-0.2038371654339784
214,-0.2038371654339784
215,-0.2038371654339784
216,-0.2038371654339784
217,-0.2038371654339784
218,-0.2038371654339784
219,-0.2038371654339784
220,-0.2038371654339784
221,-0.2038371654339784
222,-0.2038371654339784
223,-0.2038371654339784
224,-0.2038371654339784
225,-0.2038371654339784
226,-0.2038371654339784
227,-0.2038371654339784
228,-0.2038371654339784
229,-0.2038371654339784
230,-0.2038371654339784
231,-0.2038371654339784
232,-0.2038371654339784
233,-0.2038371654339784
234,-0.2038371654339784
235,-0.2038371654339784
236,-0.2038371654339784
237,-0.2038371654339784
238,-0.2038371654339784
239,-0.2038371654339784
240,-0.2038371654339784
241,-0.2038371654339784
242,-0.2038371654339784
243,-0.2038371654339784
244,-0.2038371654339784
245,-0.2038371654339784
246,-0.2038371654339784
247,-0.2038371654339784
248,-0.2038371654339784
249,-0.2038371654339784
250,-0.2038371654339784
251,-0.2038371654339784
252,-0.2038371654339784
253,-0.2038371654339784
254,-0.2038371654339784
255,-0.2038371654339784
256,-0.2038371654339784
257,-0.2038371654339784
258,-0.2038371654339784
259,-0.2038371654339784
260,-0.2038371654339784
261,-0.2038371654339784
262,-0.2038371654339784
263,-0.2038371654339784
264,-0.2038371654339784
265,-0.2038371654339784
266,-0.2038371654339784
267,-0.2038371654339784
268,-0.2038371654339784
269,-0.2038371654339784
270,-0.2038371654339784
271,-0.2038371654339784
272,-0.2038371654339784
273,-0.2038371654339784
274,-0.2038371654339784
275,-0.2038371654339784
276,-0.2038371654339784
277,-0.2038371654339784
278,-0.2038371654339784
279,-0.2038371654339784
280,-0.2038371654339784
281,-0.2038371654339784
282,-0.2038371654339784
283,-0.2038371654339784
284,-0.2038371654339784
285,-0.2038371654339784
286,-0.2038371654339784
287,-0.2038371654339784
288,-0.2038371654339784
289,-0.2038371654339784
290,-0.2038371654339784
291,-0.2038371654339784
292,-0.2038371654339784
293,-0.2038371654339784
294,-0.2038371654339784
295,-0.2038371654339784
296,-0.2038371654339784
297,-0.2038371654339784
298,-0.2038371654339784
299,-0.2038371654339784
300,-0.2038371654339784
301,-0.2038371654339784
302,-0.2038371654339784
303,-0.2038371654339784
304,-0.2038371654339784
305,-0.2038371654339784
306,-0.2038371654339784
307,-0.2038371654339784
308,-0.2038371654339784
309,-0.2038371654339784
310,-0.2038371654339784
311,-0.2038371654339784
312,-0.2038371654339784
313,-0.2038371654339784
314,-0.2038371654339784
315,-0.2038371654339784
316,-0.2038371654339784
317,-0.2038371654339784
318,-0.2038371654339784
319,-0.2038371654339784
320,-0.2038371654339784
321,-0.2038371654339784
322,-0.2038371654339784
323,-0.2038371654339784
324,-0.2038371654339784
325,-0.2038371654339784
326,-0.2038371654339784
327,-0.2038371654339784
328,-0.2038371654339784
329,-0.2038371654339784
330,-0.2038371654339784
331,-0.2038371654339784
332,-0.2038371654339784
333,-0.2038371654339784
334,-0.2038371654339784
335,-0.2038371654339784
336,-0.2038371654339784
337,-0.2038371654339784
338,-0.2038371654339784
339,-0.2038371654339784
340,-0.2038371654339784
341,-0.2038371654339784
342,-0.2038371654339784
343,-0.2038371654339784
344,-0.2038371654339784
345,-0.2038371654339784
346,-0.2038371654339784
347,-0.2038371654339784
348,-0.2038371654339784
349,-0.2038371654339784
350,-0.2038371654339784
351,-0.2038371654339784
352,-0.2038371654339784
353,-0.2038371654339784
354,-0.2038371654339784
355,-0.2038371654339784
356,-0.2038371654339784
357,-0.2038371654339784
358,-0.2038371654339784
359,-0.2038371654339784
360,-0.2038371654339784
361,-0.2038371654339784
362,-0.2038371654339784
363,-0.2038371654339784
364,-0.2038371654339784
365,-0.2038371654339784
366,-0.2038371654339784
367,-0.2038371654339784
368,-0.2038371654339784
369,-0.2038371654339784
370,-0.2038371654339784
371,-0.2038371654339784
372,-0.2038371654339784
373,-0.2038371654339784
374,-0.2038371654339784
375,-0.2038371654339784
376,-0.2038371654339784
377,-0.2038371654339784
378,-0.2038371654339784
379,-0.2038371654339784
380,-0.2038371654339784
381,-0.2038371654339784
382,-0.2038371654339784
383,-0.2038371654339784
384,-0.2038371654339784
385,-0.2038371654339784
386,-0.2038371654339784
387,-0.2038371654339784
388,-0.2038371654339784
389,-0.2038371654339784
390,-0.2038371654339784
391,-0.2038371654339784
392,-0.2038371654339784
393,-0.2038371654339784
394,-0.2038371654339784
395,-0.2038371654339784
396,-0.2038371654339784
397,-0.2038371654339784
398,-0.2038371654339784
399,-0.2038371654339784
400,-0.2038371654339784
401,-0.2038371654339784
402,-0.2038371654339784
403,-0.2038371654339784
404,-0.2038371654339784
405,-0.2038371654339784
406,-0.2038371654339784
407,-0.2038371654339784
408,-0.2038371654339784
409,-0.2038371654339784
410,-0.2038371654339784
411,-0.2038371654339784
412,-0.2038371654339784
413,-0.2038371654339784
414,-0.20532162071816773
415,-0.20532162071816773
416,-0.20532162071816773
417,-0.20532162071816773
418,-0.20532162071816773
419,-0.20532162071816773
420,-0.20532162071816773
421,-0.20532162071816773
422,-0.20532162071816773
423,-0.20532162071816773
424,-0.20532162071816773
425,-0.20532162071816773
426,-0.20532162071816773
427,-0.20532162071816773
428,-0.20532162071816773
429,-0.20532162071816773
430,-0.20532162071816773
431,-0.20532162071816773
432,-0.20532162071816773
433,-0.20532162071816773
434,-0.20532162071816773
435,-0.20532162071816773
436,-0.20532162071816773
437,-0.20532162071816773
438,-0.20532162071816773
439,-0.20532162071816773
440,-0.20532162071816773
441,-0.20532162071816773
442,-0.20532162071816773
443,-0.20532162071816773
444,-0.20532162071816773
445,-0.20532162071816773
446,-0.20532162071816773
447,-0.20532162071816773
448,-0.20532162071816773
449,-0.20532162071816773
450,-0.20532162071816773
451,-0.20532162071816773
452,-0.20532162071816773
453,-0.20532162071816773
454,-0.20532162071816773
455,-0.20532162071816773
456,-0.20532162071816773
457,-0.20532162071816773
458,-0.20532162071816773
459,-0.20532162071816773
460,-0.20532162071816773
461,-0.20532162071816773
462,-0.20532162071816773
463,-0.20532162071816773
464,-0.20532162071816773
465,-0.20532162071816773
466,-0.20532162071816773
467,-0.20532162071816773
468,-0.20532162071816773
469,-0.20532162071816773
470,-0.20532162071816773
471,-0.20532162071816773
472,-0.20532162071816773
473,-0.20532162071816773
474,-0.20532162071816773
475,-0.20532162071816773
476,-0.20532162071816773
477,-0.20532162071816773
478,-0.20532162071816773
479,-0.20532162071816773
480,-0.20532162071816773
481,-0.20532162071816773
482,-0.20532162071816773
483,-0.20532162071816773
484,-0.20532162071816773
485,-0.20532162071816773
486,-0.20532162071816773
487,-0.20532162071816773
488,-0.20532162071816773
489,-0.20532162071816773
490,-0.20532162071816773
491,-0.20532162071816773
492,-0.20532162071816773
493,-0.20532162071816773
494,-0.20532162071816773
495,-0.20532162071816773
496,-0.20532162071816773
497,-0.20532162071816773
498,-0.20532162071816773
499,-0.20532162071816773
500,-0.20532162071816773
