,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,1.232595164407831e-32,1.232595164407831e-32,0.001691829995375776,0.001691829995375776,0.0046649351492862815,0.0046649351492862815,0.0046649351492862815,2.6643511943845472e-05,2.6643511943845472e-05,2.6643511943845472e-05,2.0207860078595856e-05,2.0207860078595856e-05,0.0009482871567710991,0.001125291623524968,4.372836749324939e-05,4.372836749324939e-05,2.742674347828189e-05,2.742674347828189e-05,2.742674347828189e-05,2.4420451738117775e-07,2.4420451738117775e-07,2.4420451738117775e-07,2.4420451738117775e-07,2.4420451738117775e-07,1.0656303708652712e-05,1.0656303708652712e-05,1.0656303708652712e-05,1.0656303708652712e-05,1.769533652799948e-05,2.553072398515091e-13,2.553072398515091e-13,2.553072398515091e-13,6.845460351018786e-05,6.845460351018786e-05,6.845460351018786e-05,6.845460351018786e-05,6.845460351018786e-05,6.845460351018786e-05,2.0373205832820307e-05,2.0373205832820307e-05,2.0373205832820307e-05,2.0373205832820307e-05,8.001095508652336e-06,8.001095508652336e-06,8.001095508652336e-06,8.61338071300515e-08,8.61338071300515e-08,9.792972914177225e-07,1.852215580175535e-05,1.2324738508852354e-05,1.8017999959053485e-05,1.8017999959053485e-05,1.8017999959053485e-05,1.8017999959053485e-05,1.8017999959053485e-05,1.8017999959053485e-05,1.8017999959053485e-05,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,4.752319448396874e-06,2.2207725537504863e-06,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07,3.451949995809043e-07
1,0.0,0.0010294507183704286,0.0010294507183704286,0.0010294507183704286,0.0010294507183704286,0.0010294507183704286,0.0010294507183704286,0.0013013274023615281,0.0005272083991396318,0.001720626236271034,0.001720626236271034,0.001720626236271034,0.001720626236271034,0.001720626236271034,0.001720626236271034,4.26367433102942e-05,4.26367433102942e-05,0.00010677995540544888,0.00010677995540544888,0.00010677995540544888,0.00010677995540544888,0.0002873804411889625,0.0003277581560594222,0.0003277581560594222,0.0003277581560594222,0.0003277581560594222,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,1.7745318990861558e-05,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07,4.953070167639317e-07
2,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.00019603894760334504,0.00019603894760334504,0.00019603894760334504,0.00019603894760334504,0.0002538131464064502,0.0002538131464064502,0.0002538131464064502,0.0002538131464064502,0.0002538131464064502,0.0002538131464064502,0.0002538131464064502,1.0729426131180012e-05,0.0004314899627288817,0.0004314899627288817,0.00023279134893009832,5.202467603394871e-06,8.76515793163796e-06,2.4881967104534728e-05,2.4881967104534728e-05,2.4881967104534728e-05,2.4881967104534728e-05,2.4881967104534728e-05,2.4881967104534728e-05,6.436103152294781e-06,6.436103152294781e-06,6.436103152294781e-06,6.436103152294781e-06,6.436103152294781e-06,6.086290610636335e-05,6.086290610636335e-05,6.086290610636335e-05,6.086290610636335e-05,2.6353272521233697e-06,5.594410048002701e-05,5.594410048002701e-05,5.594410048002701e-05,5.594410048002701e-05,5.594410048002701e-05,5.594410048002701e-05,5.594410048002701e-05,9.232834189531586e-06,9.232834189531586e-06,9.232834189531586e-06,5.8514449646486605e-05,5.8514449646486605e-05,5.8514449646486605e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,3.148035820190922e-05,1.0942382764799551e-05,1.0942382764799551e-05,1.0942382764799551e-05,1.0942382764799551e-05,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10,1.6136716188733263e-10
3,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.0006265498241565533,0.00044133506352154534,0.00044133506352154534,0.00024612096810818575,0.00024612096810818575,0.00024612096810818575,0.00024612096810818575,0.00024612096810818575,0.00024612096810818575,0.00024612096810818575,0.00024612096810818575,3.182297472148547e-05,3.182297472148547e-05,3.182297472148547e-05,3.182297472148547e-05,3.182297472148547e-05,3.182297472148547e-05,3.182297472148547e-05,3.182297472148547e-05,2.428621281804331e-05,2.428621281804331e-05,2.7060341342771617e-08,2.7060341342771617e-08,0.0001291278171900803,0.0001291278171900803,0.0001291278171900803,8.961340270903349e-06,8.961340270903349e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,2.734285506522797e-06,5.210805487374281e-05,5.210805487374281e-05,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06,2.713084562900879e-06
4,0.0,0.0,0.0,7.768892665499025e-07,0.002233941146251624,0.002233941146251624,0.001190182721290561,0.001190182721290561,0.001190182721290561,0.001190182721290561,0.001190182721290561,1.249624084142688e-05,1.249624084142688e-05,1.249624084142688e-05,1.249624084142688e-05,0.00011456551835387412,0.00011456551835387412,0.00011456551835387412,0.00011456551835387412,1.4501049604374503e-05,2.7872931470671706e-05,2.7872931470671706e-05,2.7872931470671706e-05,2.7872931470671706e-05,2.7872931470671706e-05,2.7872931470671706e-05,2.7872931470671706e-05,2.7872931470671706e-05,3.102853788163373e-05,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,1.6928661524400825e-07,5.660385405645891e-05,1.3892835012624658e-05,1.3892835012624658e-05,1.3892835012624658e-05,1.3892835012624658e-05,1.3892835012624658e-05,1.3892835012624658e-05,1.3892835012624658e-05,4.469776240056888e-06,4.469776240056888e-06,6.919833070990032e-06,1.981891458227508e-05,1.981891458227508e-05,1.981891458227508e-05,1.981891458227508e-05,1.981891458227508e-05,1.981891458227508e-05,1.981891458227508e-05,1.0385198871669966e-05,1.0385198871669966e-05,1.0385198871669966e-05,1.0385198871669966e-05,1.0385198871669966e-05,1.0385198871669966e-05,8.713105254403537e-06,8.713105254403537e-06,8.713105254403537e-06,8.713105254403537e-06,8.713105254403537e-06,8.713105254403537e-06,8.713105254403537e-06,8.713105254403537e-06,5.1638718762702955e-08,5.1638718762702955e-08,5.1638718762702955e-08,5.1638718762702955e-08,5.1638718762702955e-08,5.1638718762702955e-08,5.1638718762702955e-08,5.1638718762702955e-08
5,0.0,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,0.0016391811125442968,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,2.864545013833028e-06,0.0008272612626957471,0.00010247345025896159,5.898031025488269e-05,5.898031025488269e-05,5.898031025488269e-05,5.898031025488269e-05,5.898031025488269e-05,5.898031025488269e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,3.044098536787821e-05,2.0617678970497067e-05,2.0617678970497067e-05,2.0617678970497067e-05,2.0617678970497067e-05,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,6.330041964853803e-07,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08,1.0999442321888031e-08
6,4.930380657631324e-32,4.930380657631324e-32,0.0007527936042538338,0.0007527936042538338,0.0007527936042538338,0.00014109308663516984,0.0003110397648768885,0.0003110397648768885,0.0003110397648768885,0.0003110397648768885,0.0003110397648768885,0.0003110397648768885,0.0003110397648768885,2.0401262679510162e-05,0.00034717521365625113,0.00034717521365625113,0.00034717521365625113,0.00034717521365625113,0.00020048740908356114,0.00031173193435409565,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,2.6831128419753856e-05,1.538688885436794e-05,1.538688885436794e-05,1.538688885436794e-05,1.538688885436794e-05,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,8.572992796277901e-07,3.886480610460012e-06,3.886480610460012e-06,3.886480610460012e-06,3.886480610460012e-06,1.9973657589373743e-06,1.9973657589373743e-06,1.9973657589373743e-06,1.9973657589373743e-06,1.9973657589373743e-06,1.9973657589373743e-06,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07,8.448963031364882e-07
7,0.0,0.0,0.00023643837636904024,0.00023643837636904024,0.00023643837636904024,0.00023643837636904024,0.00024332007738427119,0.00024332007738427119,6.398114472305351e-05,6.398114472305351e-05,6.398114472305351e-05,6.398114472305351e-05,0.0005805436411924897,0.0014374015642567572,0.0014374015642567572,0.0014374015642567572,0.0014374015642567572,0.0009942499586525044,0.0009942499586525044,0.00022931864274723123,0.00022931864274723123,1.4849087476917373e-06,1.4849087476917373e-06,4.691646994816559e-05,4.691646994816559e-05,4.691646994816559e-05,5.022048185060478e-05,5.022048185060478e-05,2.2820133655326476e-05,2.2820133655326476e-05,2.2820133655326476e-05,2.2820133655326476e-05,2.2820133655326476e-05,2.2820133655326476e-05,2.2820133655326476e-05,6.730597343922574e-09,6.730597343922574e-09,1.5120149055069455e-06,1.5120149055069455e-06,1.3939564232596442e-07,1.3939564232596442e-07,2.4925812092966153e-06,9.424246315913978e-07,9.424246315913978e-07,4.055293556658552e-07,4.055293556658552e-07,4.055293556658552e-07,4.055293556658552e-07,4.055293556658552e-07,4.055293556658552e-07,4.055293556658552e-07,4.055293556658552e-07,8.019831001671293e-07,8.019831001671293e-07,8.019831001671293e-07,8.019831001671293e-07,8.019831001671293e-07,4.728085098642398e-07,3.2377105393091134e-07,3.2377105393091134e-07,1.8637995603291234e-07,1.8637995603291234e-07,1.8637995603291234e-07,1.8637995603291234e-07,1.8637995603291234e-07,1.8637995603291234e-07,1.8637995603291234e-07,1.8088945737633292e-07,1.7507514272211786e-07,1.7507514272211786e-07,1.7507514272211786e-07,1.1751530431856143e-05,1.1751530431856143e-05,1.1751530431856143e-05,1.1751530431856143e-05,1.1751530431856143e-05,1.1751530431856143e-05,1.1751530431856143e-05,1.002139862579203e-05,1.002139862579203e-05,1.002139862579203e-05
8,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,6.337392247837478e-05,6.337392247837478e-05,6.337392247837478e-05,6.337392247837478e-05,6.337392247837478e-05,6.337392247837478e-05,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,8.45600306516114e-08,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,3.9297061357748e-06,4.088785153108222e-06,4.088785153108222e-06,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,2.069856038465803e-07,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06,1.4605933111895207e-06
9,0.0,0.0012485953425776515,0.0012485953425776515,0.0006566784914124264,0.0017841406166471206,0.0017841406166471206,6.531213262215902e-05,6.531213262215902e-05,6.531213262215902e-05,6.531213262215902e-05,0.001055515165210961,0.001055515165210961,0.001055515165210961,0.0005767462652849978,0.0005767462652849978,0.0005767462652849978,0.0005767462652849978,0.0005767462652849978,0.0005767462652849978,0.0001483370754410749,0.00033151988937895797,6.595413320213985e-06,6.595413320213985e-06,6.595413320213985e-06,6.595413320213985e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,3.7433930856230857e-06,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,7.869364401710368e-07,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,2.9880142988460394e-06,9.053821427207604e-07,6.078805015238226e-08,6.078805015238226e-08,6.078805015238226e-08,6.078805015238226e-08,6.078805015238226e-08,6.078805015238226e-08,6.078805015238226e-08,6.078805015238226e-08
10,0.0,0.0,0.0,0.0,0.0,2.191490877957864e-06,0.0027125884408989672,3.448916708768362e-06,3.448916708768362e-06,3.448916708768362e-06,3.448916708768362e-06,3.448916708768362e-06,3.448916708768362e-06,3.448916708768362e-06,4.971861823262998e-06,4.971861823262998e-06,4.971861823262998e-06,4.971861823262998e-06,4.971861823262998e-06,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,7.535812737592725e-07,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.2294430880962345e-05,3.7242542448888354e-06,3.7242542448888354e-06,3.7242542448888354e-06,3.7242542448888354e-06,2.2211647764488103e-06,2.2211647764488103e-06,1.352400382434556e-06,1.352400382434556e-06,1.352400382434556e-06,2.4904594000223766e-07,2.4904594000223766e-07,2.4904594000223766e-07,2.4904594000223766e-07,2.7921610792064296e-07,1.2647455579093726e-07,1.2647455579093726e-07,1.2647455579093726e-07,1.2647455579093726e-07,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06,3.601773787534952e-06
